experiment_dir,report_title,file_count,md_count,csv_count,png_count
canary_core_adaptive_alpha_policy,Adaptive alpha policy from long3 repair results,9,1,5,3
canary_core_assembly_kd_repair_mini,Canary-guided assembly repair mini,6,1,2,3
canary_core_augmented_digits_quick,Augmented digits canary-gated replacement,12,1,6,5
canary_core_augmented_digits_remediation,Augmented digits remediation experiment,14,1,7,6
canary_core_auto_compile_fixedpoint,Fully automatic canary-guided compile-to-fixed-point,7,1,4,2
canary_core_auto_compile_fixedpoint_relaxed,Fully automatic canary-guided compile-to-fixed-point,7,1,4,2
canary_core_auto_compile_fixedpoint_v2,Fully automatic compile fixed-point v2,7,1,4,2
canary_core_auto_compile_fixedpoint_v2_relaxed,Fully automatic compile fixed-point v2,7,1,4,2
canary_core_auto_function_family_combined,Automatic function-family compiler — 2 seed summary,2,1,1,0
canary_core_auto_function_family_seed0,Automatic function-family compiler,11,1,7,3
canary_core_auto_function_family_seed1,Automatic function-family compiler,11,1,7,3
canary_core_auto_multiobjective_combined,Hard-filter-free four-objective auto compiler,2,1,1,0
canary_core_auto_multiobjective_seed0,Four-objective automatic compiler,10,1,7,2
canary_core_auto_multiobjective_seed1,Four-objective automatic compiler,10,1,7,2
canary_core_auto_multiobjective_seed2,Four-objective automatic compiler,10,1,7,2
canary_core_auto_pareto_knee_combined,Pareto-knee automatic compiler: 2-seed summary,2,1,1,0
canary_core_auto_pareto_knee_seed0,Pareto-knee automatic compiler,13,1,7,5
canary_core_auto_pareto_knee_seed1,Pareto-knee automatic compiler,12,1,7,4
canary_core_auto_risk_from_utility,Utility-Constrained Automatic Risk Selection,10,1,6,3
canary_core_auto_risk_from_utility_trial2,Utility-Constrained Automatic Risk Selection,10,1,6,3
canary_core_auto_risk_from_utility_trial2_combined,Utility-constrained automatic risk selection: 2-seed summary,2,1,1,0
canary_core_auto_risk_from_utility_trial2_seed1,Utility-Constrained Automatic Risk Selection,10,1,6,3
canary_core_auto_span_merge_light,,4,0,4,0
canary_core_auto_span_merge_seed0_strong,Canary-guided automatic span merging,12,1,7,4
canary_core_blind_intrinsic_map_pilot_v9,Blind intrinsic map pilot v9,8,0,6,0
canary_core_boundary_expansion_atlas,Boundary expansion × replaceable-function atlas,12,1,7,4
canary_core_boundary_scale_manifold_combined,Boundary expansion and mechanism-manifold dimension,9,1,6,2
canary_core_boundary_scale_manifold_seed0,Boundary-scale mechanism manifold seed 0,4,1,3,0
canary_core_boundary_scale_manifold_seed1,Boundary-scale mechanism manifold seed 1,4,1,3,0
canary_core_boundary_scale_manifold_seed2,Boundary-scale mechanism manifold seed 2,4,1,3,0
canary_core_boundary_scale_manifold_seed3,Boundary-scale mechanism manifold seed 3,4,1,3,0
canary_core_break_retrain_modes_fast,"Canary block reset retraining modes, fast focus",11,1,7,3
canary_core_break_retrain_quick,Canary break-and-retrain experiment,9,1,5,3
canary_core_canary_diagnostic,Canary diagnostic meta-experiment,9,1,4,4
canary_core_canary_weighted_kd_allblocks_ultra,Ultra-mini all-block canary-weighted KD,9,1,5,3
canary_core_canary_weighted_kd_alltarget_summary,Canary-weighted KD targeted damage summary,9,1,5,3
canary_core_canary_weighted_kd_blocks12_mini,Targeted canary-weighted KD for block1/block2,9,1,5,3
canary_core_canary_weighted_kd_mini,Canary-weighted distillation repair mini,9,1,4,4
canary_core_canary_weighted_kd_targeted_mini,Targeted canary-weighted KD mini,9,1,4,4
canary_core_ce_kd_alpha_long3,Longer CE+KD alpha repair check,17,1,12,4
canary_core_ce_kd_alpha_quick2,Quick2 multi-seed CE+KD alpha repair,15,1,11,3
canary_core_ce_kd_alpha_sweep_mini,CE + KD alpha sweep,7,1,3,3
canary_core_ce_kd_mix_repair_mini,CE + canary-weighted KD repair mini,10,1,5,4
canary_core_cnn_auto_adopt,CNN auto-adopt replacement experiment,7,1,2,3
canary_core_cnn_both_rank8_control,CNN both-conv rank-8 control,6,1,2,2
canary_core_cnn_calibration_sweep,CNN calibration-size sweep,7,1,2,3
canary_core_cnn_controls,CNN digits replacement controls,7,1,2,3
