claim_id,claim_type,claim,evidence_status,source_file,calculation_or_locator,verification_status,scope_or_caveat
K001,numeric,general_composition / simplification_rate_width2 = 0.500,supported within archived scope,raw_experiments/canary_core_general_composition_law/frequency_by_width.csv,row parent_width=2: simplification_frequency,VERIFIED,24 events
K002,numeric,general_composition / simplification_rate_width3 = 0.688,supported within archived scope,raw_experiments/canary_core_general_composition_law/frequency_by_width.csv,row parent_width=3: simplification_frequency,VERIFIED,32 events
K003,numeric,general_composition / simplification_rate_width4 = 1.000,supported within archived scope,raw_experiments/canary_core_general_composition_law/frequency_by_width.csv,row parent_width=4: simplification_frequency,VERIFIED,24 events
K004,numeric,general_composition / simplification_rate_all = 0.725,supported within archived scope,raw_experiments/canary_core_general_composition_law/frequency_by_width.csv,sum(n*frequency)/sum(n),VERIFIED,"4 seeds, 80 binary composition events"
K005,numeric,recursive_simplification / unique_parent_with_internal_simplification = 0.531,supported within archived scope,raw_experiments/canary_core_general_composition_law/recursive_span_summary.csv,mean(contains_simplifying_subspan | simplifies=True),VERIFIED,32 simplified unique parents
K006,numeric,adaptive_collapse / direct_pass_rate = 0/8,supported within archived scope,raw_experiments/canary_core_general_composition_law/fullspan_adaptive_collapse_summary.csv,direct_pass_95_rate*n,VERIFIED,full-span small operators
K007,numeric,adaptive_collapse / repair4_pass_rate = 8/8,supported within archived scope,raw_experiments/canary_core_general_composition_law/fullspan_adaptive_collapse_summary.csv,repaired_pass_95_rate*n,VERIFIED,same operators after 4 epochs
K008,numeric,adaptive_collapse / mean_storage_ratio = 0.0158,supported within archived scope,raw_experiments/canary_core_general_composition_law/fullspan_adaptive_collapse_summary.csv,mean_storage_ratio,VERIFIED,full-span tested operators
K009,numeric,formation_time / pass_tau0 = 0.000,supported within archived scope,raw_experiments/canary_core_general_composition_law/adaptive_trajectory_summary.csv,row epoch=0: pass_rate,VERIFIED,8 conditions
K010,numeric,formation_time / pass_tau2 = 0.625,supported within archived scope,raw_experiments/canary_core_general_composition_law/adaptive_trajectory_summary.csv,row epoch=2: pass_rate,VERIFIED,8 conditions
K011,numeric,formation_time / pass_tau4 = 1.000,supported within archived scope,raw_experiments/canary_core_general_composition_law/adaptive_trajectory_summary.csv,row epoch=4: pass_rate,VERIFIED,8 conditions
K012,numeric,canary_sensor / LOSO_AUC_width_only = 0.710,supported within archived scope,raw_experiments/canary_core_general_composition_law/sensor_model_summary.csv,row feature_set=width_only: oof_auc,VERIFIED,composition events
K013,numeric,canary_sensor / LOSO_AUC_width_plus_scalar_canary = 0.750,supported within archived scope,raw_experiments/canary_core_general_composition_law/sensor_model_summary.csv,row feature_set=scalar_canary: oof_auc,VERIFIED,composition events
K014,numeric,canary_sensor / LOSO_AUC_width_canary_fit = 0.799,supported within archived scope,raw_experiments/canary_core_general_composition_law/sensor_model_summary.csv,row feature_set=canary_plus_fit: oof_auc,VERIFIED,composition events
K015,numeric,boundary_scale / spearman_width_participation_ratio = -0.853,supported within archived scope,raw_experiments/canary_core_boundary_scale_manifold_combined/scale_correlations.csv,row metric=participation_ratio: spearman_r,VERIFIED,4-seed width 1-4 aggregate
K016,numeric,boundary_scale / width4_participation_ratio = 1.98,supported within archived scope,raw_experiments/canary_core_boundary_scale_manifold_combined/dimension_by_width.csv,row width=4: pr_mean,VERIFIED,effective operator trajectory
K017,numeric,boundary_scale / width4_rank2_weight_error = 0.0826,supported within archived scope,raw_experiments/canary_core_boundary_scale_manifold_combined/rank2_by_width.csv,row width=4: weight_error,VERIFIED,effective operator trajectory
K018,numeric,operator_coordinates / rank2_abs_aug_diff = ~0.0063,supported within archived scope,raw_experiments/canary_core_operator_coordinate_compression/combined_rank_summary.csv,row rank=2: aug_abs_gap,VERIFIED,2-seed same-chart trajectory
K019,numeric,function_atlas / coarse_clusters_observed = 29,supported within archived scope,raw_experiments/canary_core_function_atlas_gauge_combined4/summary.csv,"mode=shape, threshold=0.30: n_clusters",VERIFIED,4-seed gauge-invariant atlas
K020,numeric,function_atlas / coarse_cluster_asymptote = ~30.6,supported within archived scope,raw_experiments/canary_core_function_atlas_gauge_combined4/summary.csv,"mode=shape, threshold=0.30: estimated_asymptote",VERIFIED,curve fit
K021,numeric,new_task / orientation_compiled_accuracy_epoch20 = ~0.922,supported within archived scope,raw_experiments/canary_core_newtask_inheritance_combined/epoch20_summary.csv,"task=orientation5, condition=compiled: newtask_acc_mean",VERIFIED,3-seed mean
K022,numeric,new_task / orientation_inheritance_epoch20 = ~0.712,supported within archived scope,raw_experiments/canary_core_newtask_inheritance_combined/epoch20_summary.csv,"task=orientation5, condition=compiled: inheritance_mean",VERIFIED,3-seed mean
K023,numeric,new_task / position_compiled_accuracy_epoch20 = ~0.710,supported within archived scope,raw_experiments/canary_core_newtask_inheritance_combined/epoch20_summary.csv,"task=position9, condition=compiled: newtask_acc_mean",VERIFIED,3-seed mean
K024,numeric,new_task / position_inheritance_epoch20 = ~0.736,supported within archived scope,raw_experiments/canary_core_newtask_inheritance_combined/epoch20_summary.csv,"task=position9, condition=compiled: inheritance_mean",VERIFIED,3-seed mean
K025,numeric,KD_damage_detection / targeted_detection = 3/3,supported within archived scope,raw_experiments/canary_core_canary_weighted_kd_alltarget_summary/alltarget_detection_summary.csv,sum(detection_hit)/n,VERIFIED,block0/1/2 seed0 targeted damage
K026,numeric,KD_repair / canary_weighted_aug_mean = 0.7126,supported within archived scope,raw_experiments/canary_core_canary_weighted_kd_alltarget_summary/alltarget_summary.csv,variant=damaged_kd_canary_weighted: aug_acc_mean,VERIFIED,targeted damage summary
K027,numeric,KD_repair / CE_aug_mean = 0.7156,supported within archived scope,raw_experiments/canary_core_canary_weighted_kd_alltarget_summary/alltarget_summary.csv,variant=damaged_ce_ft: aug_acc_mean,VERIFIED,same summary
